"Year","LPI_final","CI_low","CI_high","Description"
1970,1,1,1,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1971,1.015617654,0.986403424,1.049731104,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1972,1.032882806,0.984000723,1.08975479,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1973,1.053404061,0.993916709,1.121673812,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1974,1.07973434,1.009011259,1.16070083,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1975,1.102245075,1.020717953,1.194834666,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1976,1.114112351,1.021388461,1.217745369,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1977,1.115706135,1.014122877,1.228000873,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1978,1.11541021,1.006509666,1.234474553,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1979,1.116054717,1.003716461,1.239494144,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1980,1.117906873,1.00227465,1.244551691,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1981,1.121261798,1.002786142,1.251352283,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1982,1.135108773,1.012204954,1.271456657,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1983,1.133672947,1.005594475,1.276922436,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1984,1.141202004,1.006220885,1.293238711,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1985,1.13899592,0.998624229,1.296956586,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1986,1.153049401,1.007690688,1.316613412,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1987,1.175464292,1.024167228,1.345989556,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1988,1.21602634,1.055394672,1.396598541,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1989,1.259402562,1.089571529,1.450183682,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1990,1.282237729,1.10602666,1.479431206,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1991,1.274806112,1.097452917,1.473842067,"<strong>The Living Planet Index for the Europe and Central Asia IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 4,615 populations of 619 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
