"Year","LPI_final","CI_low","CI_high","Description"
1970,1,1,1,"<strong>The Living Planet Index for the North America IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 2,449 populations of 935 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1971,0.995189829,0.950999439,1.052936587,"<strong>The Living Planet Index for the North America IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 2,449 populations of 935 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1972,0.97919778,0.904287299,1.080106162,"<strong>The Living Planet Index for the North America IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 2,449 populations of 935 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1973,0.957313161,0.86542704,1.086714265,"<strong>The Living Planet Index for the North America IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 2,449 populations of 935 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1974,0.918917721,0.824054661,1.048143612,"<strong>The Living Planet Index for the North America IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 2,449 populations of 935 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1975,0.899108841,0.800946397,1.030674276,"<strong>The Living Planet Index for the North America IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 2,449 populations of 935 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1976,0.893148554,0.789881839,1.02924236,"<strong>The Living Planet Index for the North America IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 2,449 populations of 935 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1977,0.89916698,0.787191786,1.04465255,"<strong>The Living Planet Index for the North America IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 2,449 populations of 935 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1978,0.906955259,0.783066998,1.063675069,"<strong>The Living Planet Index for the North America IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 2,449 populations of 935 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1979,0.912051415,0.778550499,1.079082266,"<strong>The Living Planet Index for the North America IPBES region: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%). The index represents 2,449 populations of 935 freshwater and terrestrial species. All indices are weighted by species richness, giving species-rich taxonomic groups in terrestrial and freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
