"Year","LPI_final","CI_low","CI_high","Description"
1970,1,1,1,"<strong>The Living Planet Index for Terrestrial populations: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%).  The index represents 11,318 populations of 2,519 species. All indices are weighted by species richness, giving species-rich taxonomic groups in freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1971,0.996209412,0.976341377,1.017541342,"<strong>The Living Planet Index for Terrestrial populations: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%).  The index represents 11,318 populations of 2,519 species. All indices are weighted by species richness, giving species-rich taxonomic groups in freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1972,0.979258488,0.934733652,1.025528321,"<strong>The Living Planet Index for Terrestrial populations: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%).  The index represents 11,318 populations of 2,519 species. All indices are weighted by species richness, giving species-rich taxonomic groups in freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1973,0.953970465,0.885516321,1.025840425,"<strong>The Living Planet Index for Terrestrial populations: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%).  The index represents 11,318 populations of 2,519 species. All indices are weighted by species richness, giving species-rich taxonomic groups in freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1974,0.938833252,0.842669985,1.041060205,"<strong>The Living Planet Index for Terrestrial populations: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%).  The index represents 11,318 populations of 2,519 species. All indices are weighted by species richness, giving species-rich taxonomic groups in freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1975,0.926349568,0.812398762,1.051049826,"<strong>The Living Planet Index for Terrestrial populations: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%).  The index represents 11,318 populations of 2,519 species. All indices are weighted by species richness, giving species-rich taxonomic groups in freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1976,0.908273583,0.783951156,1.047019306,"<strong>The Living Planet Index for Terrestrial populations: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%).  The index represents 11,318 populations of 2,519 species. All indices are weighted by species richness, giving species-rich taxonomic groups in freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1977,0.870537345,0.747951652,1.009572243,"<strong>The Living Planet Index for Terrestrial populations: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%).  The index represents 11,318 populations of 2,519 species. All indices are weighted by species richness, giving species-rich taxonomic groups in freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1978,0.838145936,0.719222848,0.975067565,"<strong>The Living Planet Index for Terrestrial populations: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%).  The index represents 11,318 populations of 2,519 species. All indices are weighted by species richness, giving species-rich taxonomic groups in freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1979,0.817357946,0.699586236,0.953492739,"<strong>The Living Planet Index for Terrestrial populations: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%).  The index represents 11,318 populations of 2,519 species. All indices are weighted by species richness, giving species-rich taxonomic groups in freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1980,0.807350786,0.6882944,0.945071866,"<strong>The Living Planet Index for Terrestrial populations: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%).  The index represents 11,318 populations of 2,519 species. All indices are weighted by species richness, giving species-rich taxonomic groups in freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
1981,0.801082095,0.679693985,0.941797003,"<strong>The Living Planet Index for Terrestrial populations: 1970 to 2020</strong>. The bold line shows the index values and the shaded areas represent the statistical certainty surrounding the trend (95%).  The index represents 11,318 populations of 2,519 species. All indices are weighted by species richness, giving species-rich taxonomic groups in freshwater systems more weight than groups with fewer species. Index values are smoothed using a 3-year running average but keeping the first and final index values fixed."
